code,name,description
DLDE_BY_2_0,Data licence Germany – attribution – Version 2.0,"Published by Germany, DL-DE BY 2.0 is a data licence permitting any use commercially and non-commercially, as long as credit is given to the author for the original creation. Changes must be marked as such in the source note."
DLDE_ZERO_2_0,Data licence Germany – Zero – Version 2.0,"Published by Germany, DL-DE ZERO 2.0 is a data licence permitting any use without restrictions or conditions. The data and meta-data provided may be for commercial and non-commercial use."
HROD,Open Licence – The Republic of Croatia,"Published by the Republic of Croatia, HR-OD grants the re-user any re-use of the Information subject to the licence, including a spatially and temporally unrestricted, free-of-charge, non-exclusive and personal right to re-use the Information under this licence."
IODL_1_0,Italian Open Data License v1.0,"Published by Italy, IODL 1.0 aims at providing the Italian public sector with a licence facilitating the re-use of public sector information. Even commercial reuse of data is allowed, as long as credit is given to the author and new creations are licenced under the identical terms. All new works based on the original work will carry the same licence, so any derivatives will also allow commercial use."
IODL_2_0,Italian Open Data License v2.0,"Published by Italy, IODL 2.0 aims at providing the Italian public sector with a licence facilitating the re-use of public sector information. It allows distribution and building upon the author’s work, even commercially, as long as credit is given to the author for the original creation."
NLOD_1_0,Norwegian Licence for Open Government Data 1.0,"Published by Norway, NLOD 1.0 grants the user the right to copy, use and distribute information, provided the user acknowledges the contributors and complies with the terms and conditions stipulated in this licence."
OGL_NC,Non-Commercial Government Licence,"Developed and maintained by the National Archives, the Non-Commercial Government Licence (OGL-NC) may be used by public sector bodies that have a Delegation of Authority to licence Crown copyright material non-commercially. It may also be used by public sector bodies holding non-Crown copyright information in accordance with the PSI Regulations 2015."
OGL_ROU_1_0,Non-Commercial Government Licence 1.0,"Having a working value in Romanian, the Non-Commercial Government Licence 1.0 (OGL-ROU 1.0) consists of a simple set of terms and conditions facilitating the re-use of a wide range of public sector information free of charge. The OGL terms are compatible with the latest versions of the Creative Commons Attribution Licence and the Open Data Commons Attribution Licence."
OGL_1_0,Open Government Licence 1.0,"Developed and maintained by the National Archives, OGL-1.0 is a copyright licence for Crown Copyright works published by the UK government consisting of a simple set of terms and conditions facilitating the re-use of a wide range of public sector information free of charge. The OGL terms are compatible with the latest versions of the Creative Commons Attribution Licence and the Open Data Commons Attribution Licence. The OGL is a perpetual licence so any past and continuing use of information authorised under v1.0 or v2.0 may continue."
OGL_2_0,Open Government Licence 2.0,"Developed and maintained by the National Archives, OGL-2.0 is a copyright licence for Crown Copyright works published by the UK government consisting of a simple set of terms and conditions facilitating the re-use of a wide range of public sector information free of charge. The OGL terms are compatible with the latest versions of the Creative Commons Attribution Licence and the Open Data Commons Attribution Licence. The OGL is a perpetual licence so any past and continuing use of information authorised under v1.0 or v2.0 may continue."
OGL_3_0,Open Government Licence 3.0,"Developed and maintained by the National Archives, OGL-3.0 is a copyright licence for Crown Copyright works published by the UK government consisting of a simple set of terms and conditions facilitating the re-use of a wide range of public sector information free of charge. The OGL terms are compatible with the latest versions of the Creative Commons Attribution Licence and the Open Data Commons Attribution Licence. The OGL is a perpetual licence so any past and continuing use of information authorised under v1.0 or v2.0 may continue."
PSEUL,INSPIRE End User Licence,The INSPIRE End User Licence (PSEUL) aims to enable the sharing of environmental spatial information amongst public sector organisations. Licenced data under PSEUL is limited to data created (derived) by the user using Ordnance Survey (OS) licenced data.
BSD_2_CLAUSE,2-Clause BSD License,"BSD-2-Clause permits redistribution and use in source and binary forms, with or without modification, provided that the certain conditions are met: redistributions of source code must retain the copyright notice, the specific list of conditions and the disclaimer."
BSD_3_CLAUSE,3-Clause BSD License,"BSD-3-Clause permits redistribution and use in source and binary forms, with or without modification, provided that the certain conditions are met: redistributions of source code and in binary forms must retain the copyright notice, the specific list of conditions and the disclaimer. Neither the name of the copyright holder nor of its contributors may be used to promote derived products without prior written permission."
APL_1_0,Adaptive Public License 1.0,"APL-1.0 is a copyleft-style, free software licence approved by the Open Source Initiative. It allows combining the covered code with other components not governed by the APL licence provided the APL requirements are fulfilled for the covered portion of the larger work."
APACHE_2_0,"Apache License, Version 2.0","Apache-2.0 is a permissive free software licence approved by the Open Source Initiative. It gives complete freedom to use the given works, as long as the required notices are included. Compared with the MIT, recipients receive a patent licence from the contributors of the code."
APSL_2_0,Apple Public Source License 2.0,"APSL-2.0 is a copyleft-style, free software licence approved by the Open Source Initiative. Under this licence, it is possible to create a larger work by combining covered code with other code not governed by the terms of this licence and distribute the larger work as a single product. In each such instance, it must be ensured that requirements of this licence are fulfilled for the covered code or any portion thereof."
ARTISTIC_2_0,Artistic License 2.0,"Artistic-2.0 is a copyleft-style, free software licence approved by the Open Source Initiative. It preserves control of the original copyright holder: recipient can use, modify and distribute the original versions but other modified versions must document how far they are different and be reported to the original author, or be distributed under a different name, or otherwise be available under the Artistic licence or any other licence granting similar rights."
BSL_1_0,Boost Software License 1.0,"BSL-1.0 is a simple permissive licence only requiring preservation of copyright and licence notices for source (and not binary) distribution. Licenced works, modifications, and larger works may be distributed under different terms and without source code."
BSD_PLUS_PATENT,BSD+Patent,"BSD+Patent is a free software licence approved by the Open Source Initiative. It is a 2-clause license in which nothing restricts redistribution under any other license, but it requests to retain copyright notices and restrict the use of the BSD licensor name to promote derivative products."
CECILL_2_1,"CEA CNRS Inria Free Software License Agreement, v2.1 (CECILL-2.1)","CECILL-2.1 is a moderate copyleft licence initiated in France by CEA, CNRS and Inria and approved by the Open Source Initiative. It has a working value in English/French. It is widely compatible, since only the specific files source code must stay covered, and not the other files or components of a solution. It is therefore designed for components or libraries. Governed by French law."
CDDL_1_0,Common Development and Distribution License 1.0,"CDDL-1.0 is a free software licence approved by the Open Source Initiative. A moderated (or weak) copyleft licence used by SUN, including explicit patent grants, it is similar to MPL and EPL. Compiled object code can be distributed under any licence, but the original source code (and modified derivatives) must be made available, under the CDDL."
CPAL_1_0,Common Public Attribution License Version 1.0 (CPAL-1.0),"CPAL-1.0 is a copyleft-style, free software licence approved by the Open Source Initiative. Under this licence, it is possible to create a larger work by combining the program with other software code not governed by the terms of this licence, and distribute the larger work as a single product."
CATOSL_1_1,Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1),"CATOSL-1.1 is a copyleft-style, free software licence approved by the Open Source Initiative. Under this licence, it is possible to create a larger work by combining the program with other software code not governed by the terms of this licence, and distribute the larger work as a single product."
EPL_2_0,Eclipse Public License version 2.0,"EPL 2.0 is a copyleft-style, free software licence approved by the Open Source Initiative. Made and mainly used by the Eclipse Foundation, it is similar to GPL but does not submit linking of the covered code to conditions or ”viral” extension of licence coverage to the other linked software."
ECOS_2_0,eCos License version 2.0,"Owned by the Free Software Foundation, eCos-2.0 is a copyleft-style, free software licence approved by the Open Source Initiative."
ECL_2_0,Educational Community License version 2.0 (ECL-2.0),ECL-2.0 is a permissive free software licence approved by the Open Source Initiative. It is similar to the Apache 1.2. Nothing in the licence prohibits re-licencing of a larger work under the EUPL.
EFL_2,"Eiffel Forum License, version 2","EFL-2.0 is a BSD-style, permissive free software licence approved by the Open Source Initiative."
ENTESSA,Entessa Public License Version 1.0 (Entessa),"Entessa 1.0 is a BSD-style, permissive free software licence approved by the Open Source Initiative. It imposes copyright acknowledgements that are compatible with the EUPL."
EU_DATAGRID,EU DataGrid Software License (EUDatagrid),EUDatagrid is a permissive free software licence approved by the Open Source Initiative. It is a classic 3-clause licence. Nothing in this licence restricts redistribution of larger works under the EUPL.
FAIR,Fair License (Fair),"Fair is a permissive free software licence approved by the Open Source Initiative. It gives complete freedom to use the given works, as long as this licence is included and a warranty is not placed."
FRAMEWORX_1_0,Frameworx License 1.0 (Frameworx-1.0),"Frameworx-1.0 is a copyleft-style, free software licence approved by the Open Source Initiative."
AGPL_3_0,GNU Affero General Public License version 3,AGPL-3.0 is a modified GPL-3.0 extended to network or Web services distribution (SaaS). Strong copyleft: copies and derivatives may be distributed under the same AGPL only. Need to document derivatives’ changes and dates. Incompatible with other licences except linking with code covered by the original GPL-3.0.
GPL_2_0,GNU General Public License version 2,"GPL-2.0 is the ”historical” free software licence. It is supported by the Free Software Foundation. Copy, modification and distribution are authorised, changes/dates must be traced in source files. Any derivative must also be made available under the GPL along with build and install instructions. Lack of compatibility is a known GPL-2.0 issue when a project combines multiple sources and stakeholders."
GPL_3_0,GNU General Public License version 3,"GPL-3.0 is supported by the Free Software Foundation. Under this licence, software can be copied, distributed and modified as long as changes/dates are tracked in source files. Any derivative including (i.e. via compiler) GPL-licenced code must also be made available under the GPL-3.0 along with build and install instructions."
LGPL_2_1,GNU Lesser General Public License version 2.1,LGPL 2.1 is supported by the Free Software Foundation for libraries. Works made by using the covered software could be distributed under any licence. Distribution of derivatives (code modifications) must be done under LGPL. Reverse engineering must be allowed.
LGPL_3_0,GNU Lesser General Public License version 3,LGPL-3.0 was produced by the Free Software Foundation for libraries. Works made by using the covered software could be distributed under any licence. Distribution of derivatives (code modifications) must be done under LGPL. Reverse engineering must be allowed.
IPL_1_0,IBM Public License Version 1.0 (IPL-1.0),"The IPL-1.0 is the open-source licence IBM uses for some of its software. Supposed to facilitate commercial use of said software, is very clear on the specifics of liability. It also grants explicit patent rights."
IPA,IPA Font License (IPA),"The IPA licence applies only to font programs and allows for a great deal of freedom in distributing them, both commercially and non-commercially. The name of redistributed versions of the original software cannot be changed and must include a copy of the license."
ISC,ISC License (ISC),"ISC is a short and permissive software permissive licence (like MIT and BSD). Main obligation is to include the original copyright notice. For reducing licence proliferation, it is advised to use the MIT licence instead."
LPPL_1_3C,LaTeX Project Public License v1.3c (LPPL-1.3c),"LPPL-1.3c is a very specific, non-copyleft licence. It organises rights of the ”maintainer” of a work V/S other distributors who have to comply with documentation requirements and to communicate the original code (or report where it can be available)."
BSD_3_CLAUSE_LBNL,Lawrence Berkeley National Labs BSD Variant License (BSD-3-Clause-LBNL),"BSD-3-Clause-LBNL is a BSD-style, permissive free software licence approved by the Open Source Initiative."
LILIQ_P_1_1,Québec Free and Open-Source Licence – Permissive (LiLiQ-P) version 1.1,"Approved by the Open Source Initiative, LiLiQ-P-1.1 is a permissive licence produced by the State of Quebec (Canada)."
LILIQ_R_1_1,Québec Free and Open-Source Licence – Reciprocity (LiLiQ-R) version 1.1,"LiLiQ-R 1.1 is a moderately reciprocate licence produced by the State of Quebec (Canada). A list of liences with similar level of reciprocity is declared compatible, including GPL, EUPL, MPL, LGPL etc., meaning that the covered code can be reused in other projects covered by these licences. It is approved by the Open Source Initiative."
LILIQ_RPLUS_1_1,Québec Free and Open-Source Licence – Strong Reciprocity (LiLiQ-R+) version 1.1,"LiLiQ-Rplus-1.1 is a reciprocate (copyleft) licence produced by the State of Quebec (Canada). Other reciprocal licences GPL-2.0-or-later and the EUPL are expressly listed as compatible, meaning that the covered code can be reused in other projects covered by these licences. It is approved by the Open Source Initiative."
LPL_1_02,Lucent Public License Version 1.02 (LPL-1.02),"LPL-1.02 is a copyleft-style, free software licence approved by the Open Source Initiative. Similar to the Common Public License, this licence makes liability rules very clear."
MS_PL,Microsoft Public License (MS-PL),"MS-PL is a BSD-style, permissive free software licence approved by the Open Source Initiative."
MS_RL,Microsoft Reciprocal License (MS-RL),"MS-RL is a copyleft-style, free software licence approved by the Open Source Initiative."
MIROS,MirOS License (MirOS),"MirOS is a BSD-style, permissive free software licence approved by the Open Source Initiative."
MIT,The MIT License,"Approved by the Open Source Initiative, MIT is the most recommended permissive licence: short and very popular. Everything is allowed as long as the original copyright and licence notice is included in any copy of the software/source."
MOTOSOTO,Motosoto Open Source License – Version 0.9.1 (Motosoto),"Motosoto is a copyleft-style, free software licence approved by the Open Source Initiative."
MPL_2_0,"Mozilla Public License (MPL), version 2.0 (MPL-2.0)","MPL-2.0 is a weak copyleft licence, characterised as a middle ground between permissive free software licences and the GNU General Public License that seeks to balance the concerns of proprietary and open source developers. As such, it allows re-licencing. It is approved by the Open Source Initiative."
MULTICS,Multics License (Multics),Multics is a permissive free software licence approved by the Open Source Initiative. The legal text of this licence is only a paragraph long and both protects the authors' trademarks and requires users to include this licence.
NASA_1_3,NASA Open Source Agreement v1.3 (NASA-1.3),"Approved by the Open Source Initiative, NASA-1.3 is a licence used by NASA containing an obligation to register with the government when receiving the software and to tell a specified agency how the modifications are used."
NAUMEN,NAUMEN Public License (Naumen),"Approved by the Open Source Initiative, Naumen is a fairly restrictive free software licence, but provides good protection for the author of the software."
NGPL,The Nethack General Public License (NGPL),"Approved by the Open Source Initiative, NGPL is a very old licence used for the game NetHack. It allows users to freely share their modifications, in exchange for several restrictions and little protection for the authors."
NOKIA,Nokia Open Source License Version 1.0a (NOKIA),"Approved by the Open Source Initiative, NOKIA is a slightly altered variant on the Mozilla Public License specified for Nokia. It requires including a notice in each source file. Disputes must be settled through a Finnish arbitration process."
NPOSL_3_0,The Non-Profit Open Software License version 3.0 (NPOSL-3.0),"A variant of the Open Software License 3.0, NPOSL-3.0 requires that the organisation using it is a non-profit and that no revenue is generated from sale of the software, support or services. It is approved by the Open Source Initiative."
NTP,NTP License (NTP),"Approved by the Open Source Initiative, NTP is a simple licence, written as a template, that provides protection for the author while giving users full rights to the software."
OCLC_2_0,The OCLC Research Public License 2.0 License (OCLC-2.0),"While OCLC Research now uses the Apache 2.0 licence, OCLC-2.0 is a relatively strong copyleft licence with fairly lenient restrictions and built-in protection for the author. It is approved by the Open Source Initiative."
OGTSL,The Open Group Test Suite License (OGTSL),"OGTSL was meant to facilitate software testing, without placing severe restrictions on use of the software except in terms of including original versions of the software. It is approved by the Open Source Initiative."
OSL_3_0,"Open Software License, version 3.0 (OSL-3.0)","Open Software License 3.0 is a copyleft-style, free software licence approved by the Open Source Initiative. Similar to the AGPL, the OSL requires the user to disclose the source code when communicating software."
OPL_2_1,OSET Public License version 2.1,"OSET Public License 2.1 is a copyleft-style, free software licence approved by the Open Source Initiative."
PHP_3_0,The PHP License 3.0 (PHP-3.0),"The PHP License 3.0 is a permissive free software licence approved by the Open Source Initiative. It has minimal, clear requirements, and explicitly bars the use of the PHP name to endorse the software."
POSTGRE_SQL,The PostgreSQL Licence (PostgreSQL),PostgreSQL is a BSD-style permissive free software licence approved by the Open Source Initiative.
PYTHON_2_0,Python License (Python-2.0),Python 2.0 is a permissive free software licence approved by the Open Source Initiative.
CNRI_PYTHON,The CNRI portion of the multi-part Python License (CNRI-Python),CNRI-Python is a permissive free software licence approved by the Open Source Initiative.
QPL_1_0,The Q Public License Version (QPL-1.0),"The Q Public License Version 1.0 is a copyleft-style, free software licence approved by the Open Source Initiative. It was designed by the Norwegian firm Trolltech to govern the distribution of its software, the Qt Toolkit."
RPSL_1_0,RealNetworks Public Source License Version 1.0 (RPSL-1.0),"Published by RealNetworks, RPSL-1.0 is a copyleft-style, free software licence approved by the Open Source Initiative."
RPL_1_5,Reciprocal Public License 1.5 (RPL-1.5),"The Reciprocal Public License 1.5 is a copyleft-style, free software licence approved by the Open Source Initiative with detailed liability protection and numerous requirements, created to close a loophole in the GPL which let users sell modified software without ”fairly” distributing it."
RSCPL,The Ricoh Source Code Public License (RSCPL),"The Ricoh Source Code Public License (RSCPL) is a copyleft-style, free software licence approved by the Open Source Initiative with much built-in protection for the author."
OFL_1_1,SIL Open Font License (OFL-1.1),"The SIL Open Font License 1.1 is one of the major open font licences, which allows embedding of the font in commercially sold products. It is a free and open source licence approved by the Open Source Initiative."
SIMPL_2_0,Simple Public License (SimPL-2.0),"Simple Public License 2.0 is a copyleft-style, free software licence approved by the Open Source Initiative."
SLEEPYCAT,The Sleepycat License (Sleepycat),"The Sleepycat License is a BSD plus-style, permissive free software licence approved by the Open Source Initiative."
SPL_1_0,Sun Public License Version 1.0 (SPL-1.0),"Sun Public License 1.0 is a copyleft-style, free software licence approved by the Open Source Initiative."
WATCOM_1_0,The Sybase Open Source Licence (Watcom-1.0),"Watcom-1.0 is a proprietary+patent-style, strong copyleft software licence approved by the Open Source Initiative."
UPL_1_0,"The Universal Permissive License (UPL), Version 1.0","The Universal Permissive License 1.0 is an attribution+patent-style, permissive free software licence issued by Oracle and approved by the Open Source Initiative."
NCSA,The University of Illinois/NCSA Open Source License (NCSA),"NCSA Open Source License is a BSD-style, permissive free software licence approved by the Open Source Initiative."
UCL_1_0,Upstream Compatibility License v1.0,"Upstream Compatibility License v1.0 is a copyleft-style, free software licence approved by the Open Source Initiative."
VSL_1_0,The Vovida Software License v. 1.0 (VSL-1.0),"The Vovida Software License v. 1.0 is a BSD plus-style, permissive free software licence approved by the Open Source Initiative."
W3C,The W3C Software Notice and License (W3C),"The W3C Software Notice and License is a permissive free software licence used by software released by the World Wide Web Consortium. It is a permissive licence, compatible with the GNU General Public License and approved by the Open Source Initiative."
0BSD,Zero-Clause BSD / Free Public License 1.0.0 (0BSD),"The BSD 0-clause licence, 0BSD, goes further than the 2-clause licence by dropping the requirements to include the copyright notice, licence text or disclaimer in either source or binary forms. Doing so forms a public-domain-equivalent licence. It is approved by the Open Source Initiative."
ZPL_2_0,The Zope Public License Version 2.0 (ZPL-2.0),"The Zope Public License Version 2.0 is a free software licence approved by the Open Source Initiative, used primarily for the Zope application server software. It is similar to the well-known BSD license, however the ZPL also adds clauses prohibiting trademark use and requiring documentation of all changes."
ZLIB,The zlib/libpng License (Zlib),"Zlib is designed to be a free, general-purpose, legally unencumbered – not covered by any patents – lossless data-compression library for use on virtually any computer hardware and operating system. It is approved by the Open Source Initiative."
