code,name
ANF,Animere
ANG,Old English (ca. 450-1100)
ANH,Nend
ANI,Andi
ANJ,Anor
ANK,Goemai
ANL,Anu
ANM,Anal
ANN,Obolo
ANO,Andoque
ANP,Angika
ANQ,Jarawa (India)
ANR,Andh
ANS,Anserma
ANT,Antakarinya
ANU,Anuak
ANV,Denya
ANW,Anaang
ANX,Andra-Hus
ANY,Anyin
ANZ,Anem
AOA,Angolar
AOB,Abom
AOC,Pemon
AOD,Andarum
AOE,Angal Enen
AOF,Bragat
AOG,Angoram
AOH,Arma
AOI,Anindilyakwa
AOJ,Mufian
AOK,Arhö
AOL,Alor
AOM,Ömie
AON,Bumbita Arapesh
AOR,Aore
AOS,Taikat
AOT,A'tong
AOX,Atorada
AOZ,Uab Meto
APB,Sa'a
APC,North Levantine Arabic
APD,Sudanese Arabic
APE,Bukiyip
APG,Ampanang
APH,Athpariya
API,Apiaká
APJ,Jicarilla Apache
APK,Kiowa Apache
APL,Lipan Apache
APM,Mescalero-Chiricahua Apache
APN,Apinayé
APO,Apalik
APP,Apma
APQ,A-Pucikwar
APR,Arop-Lokep
APS,Arop-Sissano
APT,Apatani
APU,Apurinã
APV,Alapmunte
APW,Western Apache
APX,Aputai
APY,Apalaí
APZ,Safeyoka
AQC,Archi
AQG,Arigidi
AQM,Atohwaim
AQN,Northern Alta
AQP,Atakapa
AQR,Arhâ
ARA,árabe
ARB,Standard Arabic
ARC,Official Aramaic (700-300 BCE)
ARD,Arabana
ARE,Western Arrarnta
ARG,Aragonese
ARH,Arhuaco
ARI,Arikara
ARJ,Arapaso
ARK,Arikapú
ARL,Arabela
ARN,Mapudungun
ARO,araona
ARP,Arapaho
ARQ,Algerian Arabic
ARR,Karo (Brazil)
ARS,Najdi Arabic
ARU,Aruá (Amazonas State)
ARV,Arbore
ARW,Arawak
ARX,Aruá (Rodonia State)
ARY,Moroccan Arabic
ARZ,Egyptian Arabic
ASA,Asu (Tanzania)
ASB,Assiniboine
ASC,Casuarina Coast Asmat
ASD,Asas
ASE,língua gestual americana
ASF,língua gestual australiana
ASG,Cishingini
ASH,Abishira
ASI,Buruwai
ASJ,Nsari
ASK,Ashkun
ASL,Asilulu
ASM,Assamese
ASN,Xingú Asuriní
ASO,Dano
ASP,língua gestual argelina
ASQ,língua gestual austríaca
ASR,Asuri
ASS,Ipulo
AST,Asturian
ASU,Tocantins Asurini
ASV,Asoa
ASW,língua gestual aborígene da Austrália
ASX,Muratayak
ASY,Yaosakor Asmat
ASZ,As
ATA,Pele-Ata
ATB,Zaiwa
ATC,Atsahuaca
ATD,Ata Manobo
ATE,Atemble
ATG,Ivbie North-Okpela-Arhe
ATI,Attié
ATJ,Atikamekw
ATK,Ati
ATL,Mt. Iraya Agta
ATM,Ata
ATN,Ashtiani
ATO,Atong
ATP,Pudtol Atta
ATQ,Aralle-Tabulahan
ATR,Waimiri-Atroari
ATS,Gros Ventre
ATT,Pamplona Atta
ATU,Reel
ATV,Northern Altai
ATW,Atsugewi
ATX,Arutani
ATY,Aneityum
ATZ,Arta
AUA,Asumboa
AUB,Alugu
AUC,Waorani
AUD,Anuta
AUE,=/Kx'au//'ein
AUG,Aguna
AUH,Aushi
AUI,Anuki
AUJ,Awjilah
AUK,Heyo
AUL,Aulua
AUM,Asu (Nigeria)
AUN,Molmo One
AUO,Auyokawa
AUP,Makayam
AUQ,Anus
AUR,Aruek
AUT,Austral
AUU,Auye
AUW,Awyi
AUX,Aurá
AUY,Awiyaana
AUZ,Uzbeki Arabic
AVA,Avaric
AVB,Avau
AVD,Alviri-Vidari
AVE,Avestan
AVI,Avikam
AVK,Kotava
AVL,Eastern Egyptian Bedawi Arabic
AVN,Avatime
AVO,Agavotaguerra
AVS,Aushiri
AVT,Au
AVU,Avokaya
AVV,Avá-Canoeiro
AWA,Awadhi
AWB,Awa (Papua New Guinea)
AWC,Cicipu
AWE,Awetí
AWH,Awbono
AWI,Aekyom
AWK,Awabakal
AWM,Arawum
AWN,Awngi
AWO,Awak
AWR,Awera
AWS,South Awyu
AWT,Araweté
AWU,Central Awyu
AWV,Jair Awyu
AWW,Awun
AWX,Awara
AWY,Edera Awyu
AXB,Abipon
AXG,Mato Grosso Arára
AXK,Yaka (Central African Republic)
AXM,Middle Armenian
AXX,Xaragure
AYA,Awar
AYB,Ayizo Gbe
AYC,Southern Aymara
AYD,Ayabadhu
AYE,Ayere
AYG,Ginyanga
AYH,Hadrami Arabic
AYI,Leyigha
AYK,Akuku
AYL,Libyan Arabic
AYM,aimará
AYN,Sanaani Arabic
AYO,ajoréu
AYP,North Mesopotamian Arabic
AYQ,Ayi (Papua New Guinea)
AYR,Central Aymara
AYS,Sorsogon Ayta
AYT,Bataan Ayta
AYU,Ayu
AYX,Ayi (China)
AYY,Tayabas Ayta
AYZ,Mai Brat
AZA,Azha
AZB,South Azerbaijani
AZE,azeri
AZG,San Pedro Amuzgos Amuzgo
AZJ,North Azerbaijani
AZM,Ipalapa Amuzgo
AZO,Awing
AZT,Faire Atta
AZZ,Highland Puebla Nahuatl
BAA,Babatana
BAB,Bainouk-Gunyuño
BAC,Badui
BAE,Baré
BAF,Nubaca
BAG,Tuki
BAH,Bahamas Creole English
BAJ,Barakai
BAK,Bashkir
BAL,Baluchi
BAM,Bambara
BAN,Balinese
BAO,Waimaha
BAP,Bantawa
BAR,Bavarian
BAS,Basa (Cameroon)
BAU,Bada (Nigeria)
BAV,Vengo
BAW,Bambili-Bambui
BAX,Bamun
BAY,Batuley
BAZ,Tunen
BBA,Baatonum
BBB,Barai
BBC,Batak Toba
BBD,Bau
BBE,Bangba
BBF,Baibai
BBG,Barama
BBH,Bugan
BBI,Barombi
BBJ,Ghomálá'
BBK,Babanki
BBL,Bats
BBM,Babango
BBN,Uneapa
BBO,Northern Bobo Madaré
BBP,West Central Banda
BBQ,Bamali
BBR,Girawa
BBS,Bakpinka
BBT,Mburku
BBU,Kulung (Nigeria)
BBV,Karnai
BBW,Baba
BBX,Bubia
BBY,Befang
BBZ,Babalia Creole Arabic
BCA,Central Bai
BCB,Bainouk-Samik
BCC,Southern Balochi
BCD,North Babar
BCE,Bamenyam
BCF,Bamu
BCG,Baga Binari
BCH,Bariai
BCI,Baoulé
BCJ,Bardi
BCK,Bunaba
BCL,Central Bicolano
BCM,Bannoni
BCN,Bali (Nigeria)
BCO,Kaluli
BCP,Bali (Democratic Republic of Congo)
BCQ,Bench
BCR,Babine
BCS,Kohumono
BCT,Bendi
BCU,Awad Bing
BCV,Shoo-Minda-Nye
BCW,Bana
BCY,Bacama
BCZ,Bainouk-Gunyaamolo
BDA,Bayot
BDB,Basap
BDC,Emberá-Baudó
BDD,Bunama
BDE,Bade
BDG,Bonggi
BDH,Baka (Sudan)
BDI,Burun
BDJ,Bai
BDK,Budukh
BDL,Indonesian Bajau
BDM,Buduma
BDN,Baldemu
BDO,Morom
BDP,Bende
BDQ,Bahnar
BDR,West Coast Bajau
BDS,Burunge
BDT,Bokoto
BDU,Oroko
BDV,Bodo Parja
BDW,Baham
BDX,Budong-Budong
BDY,Bandjalang
BDZ,Badeshi
BEA,Beaver
BEB,Bebele
BEC,Iceve-Maci
BED,Bedoanas
BEE,Byangsi
BEF,Benabena
BEG,Belait
BEH,Biali
BEI,Bekati'
BEJ,Beja
BEK,Bebeli
BEL,bielorrusso
BEM,Bemba (Zambia)
BEN,bengali
BEO,Beami
BEP,Besoa
BEQ,Beembe
BES,Besme
BET,Guiberoua Béte
BEU,Blagar
BEV,Daloa Bété
BEW,Betawi
BEX,Jur Modo
BEY,Beli (Papua New Guinea)
BEZ,Bena (Tanzania)
BFA,Bari
BFB,Pauri Bareli
BFC,Northern Bai
BFD,Bafut
BFE,Betaf
BFF,Bofi
BFG,Busang Kayan
BFH,Blafe
BFI,língua gestual britânica
BFJ,Bafanji
BFK,língua gestual de Ban Khor
BFL,Banda-Ndélé
BFM,Mmen
BFN,Bunak
BFO,Malba Birifor
BFP,Beba
BFQ,Badaga
BFR,Bazigar
BFS,Southern Bai
BFT,Balti
BFU,Gahri
BFW,Bondo
BFY,Bagheli
BFZ,Mahasu Pahari
BGA,Gwamhi-Wuri
BGB,Bobongko
BGC,Haryanvi
BGD,Rathwi Bareli
BGE,Bauria
BGF,Bangandu
BGG,Bugun
BGI,Giangan
BGJ,Bangolan
BGK,Bit
BGL,Bo (Laos)
BGM,Baga Mboteni
BGN,Western Balochi
BGO,Baga Koga
BGP,Eastern Balochi
BGQ,Bagri
BGR,Bawm Chin
BGS,Tagabawa
BGT,Bughotu
BGU,Mbongno
BGV,Warkay-Bipim
BGW,Bhatri
BGX,Balkan Gagauz Turkish
BGY,Benggoi
BGZ,Banggai
BHA,Bharia
BHB,Bhili
BHC,Biga
BHD,Bhadrawahi
BHE,Bhaya
BHF,Odiai
BHG,Binandere
BHH,Bukharic
BHI,Bhilali
BHJ,Bahing
BHK,Albay Bicolano
BHL,Bimin
BHM,Bathari
BHN,Bohtan Neo-Aramaic
BHO,Bhojpuri
BHP,Bima
BHQ,Tukang Besi South
BHR,Bara Malagasy
BHS,Buwal
BHT,Bhattiyali
BHU,Bhunjia
BHV,Bahau
BHW,Biak
BHX,Bhalay
BHY,Bhele
BHZ,Bada (Indonesia)
BIA,Badimaya
BIB,Bissa
BIC,Bikaru
BID,Bidiyo
BIE,Bepour
BIF,Biafada
BIG,Biangai
BIJ,Vaghat-Ya-Bijim-Legeri
BIK,Bikol
BIL,Bile
BIM,Bimoba
BIN,Bini
BIO,Nai
BIP,Bila
BIQ,Bipi
BIR,Bisorio
BIS,bislamá
BIT,Berinomo
BIU,Biete
BIV,Southern Birifor
BIW,Kol (Cameroon)
BIX,Bijori
BIY,Birhor
BIZ,Baloi
BJA,Budza
BJB,Banggarla
BJC,Bariji
BJD,Bandjigali
BJE,Biao-Jiao Mien
BJF,Barzani Jewish Neo-Aramaic
BJG,Bidyogo
BJH,Bahinemo
BJI,Burji
BJJ,Kanauji
BJK,Barok
BJL,Bulu (Papua New Guinea)
BJM,Bajelani
BJN,Banjar
BJO,Mid-Southern Banda
BJQ,Southern Betsimisaraka Malagasy
BJR,Binumarien
BJS,Bajan
BJT,Balanta-Ganja
BJU,Busuu
BJV,Bedjond
BJW,Bakwé
BJX,Banao Itneg
BJY,Bayali
BJZ,Baruga
BKA,Kyak
BKB,Finallig
BKC,Baka (Cameroon)
BKD,Binukid
BKF,Beeke
BKG,Buraka
BKH,Bakoko
BKI,Baki
BKJ,Pande
BKK,Brokskat
BKL,Berik
BKM,Kom (Cameroon)
BKN,Bukitan
BKO,Kwa'
BKP,Boko (Democratic Republic of Congo)
BKQ,Bakairí
BKR,Bakumpai
BKS,Masbate Sorsogon
BKT,Boloki
BKU,Buhid
BKV,Bekwarra
BKW,Bekwil
BKX,Baikeno
BKY,Bokyi
BKZ,Bungku
BLA,Siksika
BLB,Bilua
BLC,Bella Coola
BLD,Bolango
BLE,Balanta-Kentohe
BLF,Buol
BLG,Balau
BLH,Kuwaa
BLI,Bolia
BLJ,Bolongan
BLK,Pa'o Karen
BLL,Biloxi
BLM,Beli (Sudan)
BLN,Southern Catanduanes Bicolano
BLO,Anii
BLP,Blablanga
BLQ,Baluan-Pam
BLR,Blang
BLS,Balaesang
BLT,Tai Dam
BLV,Bolo
BLW,Balangao
BLX,Mag-Indi Ayta
BLY,Notre
BLZ,Balantak
BMA,Lame
BMB,Bembe
BMC,Biem
BMD,Baga Manduri
BME,Limassa
BMF,Bom
BMG,Bamwe
BMH,Kein
BMI,Bagirmi
BMJ,Bote-Majhi
BMK,Ghayavi
BML,Bomboli
BMM,Northern Betsimisaraka Malagasy
BMN,Bina (Papua New Guinea)
BMO,Bambalang
BMP,Bulgebi
BMQ,Bomu
BMR,Muinane
BMS,Bilma Kanuri
BMT,Biao Mon
BMU,Burum-Mindik
BMV,Bum
BMW,Bomwali
BMX,Baimak
BMY,Bemba (Democratic Republic of Congo)
BMZ,Baramu
BNA,Bonerate
BNB,Bookan
BNC,Central Bontoc
BND,Banda (Indonesia)
BNE,Bintauna
BNF,Masiwang
BNG,Benga
BNI,Bangi
BNJ,Eastern Tawbuid
BNK,Bierebo
BNL,Boon
BNM,Batanga
BNN,Bunun
BNO,Bantoanon
BNP,Bola
BNQ,Bantik
BNR,Butmas-Tur
BNS,Bundeli
BNU,Bentong
BNV,Bonerif
BNW,Bisis
BNX,Bangubangu
BNY,Bintulu
BNZ,Beezen
BOA,Bora
BOB,Aweer
BOD,tibetano
BOE,Mundabli
BOF,Bolon
BOG,língua gestual malinesa
BOH,Boma
BOI,Barbareño
BOJ,Anjam
BOK,Bonjo
BOL,Bole
BOM,Berom
BON,Bine
BOO,Tiemacèwè Bozo
BOP,Bonkiman
BOQ,Bogaya
BOR,Borôro
BOS,bósnio
BOT,Bongo
BOU,Bondei
BOV,Tuwuli
BOW,Rema
BOX,Buamu
BOY,Bodo (Central African Republic)
BOZ,Tiéyaxo Bozo
BPA,Dakaka
BPB,Barbacoas
BPD,Banda-Banda
BPG,Bonggo
BPH,Botlikh
BPI,Bagupi
BPJ,Binji
BPK,Orowe
BPL,Broome Pearling Lugger Pidgin
BPM,Biyom
BPN,Dzao Min
BPO,Anasi
BPP,Kaure
BPQ,Banda Malay
BPR,Koronadal Blaan
BPS,Sarangani Blaan
BPT,Barrow Point
BPU,Bongu
BPV,Bian Marind
BPW,Bo (Papua New Guinea)
BPX,Palya Bareli
BPY,Bishnupriya
BPZ,Bilba
BQA,Tchumbuli
BQB,Bagusa
BQC,Boko (Benin)
BQD,Bung
BQF,Baga Kaloum
BQG,Bago-Kusuntu
BQH,Baima
BQI,Bakhtiari
BQJ,Bandial
BQK,Banda-Mbrès
BQL,Bilakura
BQM,Wumboko
BQN,língua gestual búlgara
BQO,Balo
BQP,Busa
BQQ,Biritai
BQR,Burusu
BQS,Bosngun
BQT,Bamukumbit
BQU,Boguru
BQV,Begbere-Ejar
BQW,Buru (Nigeria)
BQX,Baangi
BQY,língua gestual de Báli
BQZ,Bakaka
BRA,Braj
BRB,Lave
BRC,Berbice Creole Dutch
BRD,Baraamu
BRE,bretão
BRF,Bera
BRG,baure
BRH,Brahui
BRI,Mokpwe
BRJ,Bieria
BRK,Birked
BRL,Birwa
BRM,Barambu
BRN,Boruca
BRO,Brokkat
BRP,Barapasi
BRQ,Breri
BRR,Birao
BRS,Baras
BRT,Bitare
BRU,Eastern Bru
BRV,Western Bru
BRW,Bellari
BRX,Bodo (India)
BRY,Burui
BRZ,Bilbil
BSA,Abinomn
BSB,Brunei Bisaya
BSC,Bassari
BSE,Wushi
BSF,Bauchi
BSG,Bashkardi
BSH,Kati
BSI,Bassossi
BSJ,Bangwinji
BSK,Burushaski
BSL,Basa-Gumna
BSM,Busami
BSN,Barasana-Eduria
BSO,Buso
BSP,Baga Sitemu
BSQ,Bassa
BSR,Bassa-Kontagora
BSS,Akoose
BST,Basketo
BSU,Bahonsuai
BSV,Baga Sobané
BSW,Baiso
BSX,Yangkam
BSY,Sabah Bisaya
BTA,Bata
BTB,Beti (Cameroon)
BTC,Bati (Cameroon)
BTD,Batak Dairi
BTE,Gamo-Ningi
BTF,Birgit
BTG,Gagnoa Bété
BTH,Biatah Bidayuh
BTI,Burate
BTJ,Bacanese Malay
BTL,Bhatola
BTM,Batak Mandailing
BTN,Ratagnon
BTO,Iriga Bicolano
BTP,Budibud
BTQ,Batek
BTR,Baetora
BTS,Batak Simalungun
BTT,Bete-Bendi
BTU,Batu
BTV,Bateri
BTW,Butuanon
BTX,Batak Karo
BTY,Bobot
BTZ,Batak Alas-Kluet
BUA,Buriat
BUB,Bua
BUC,Bushi
BUD,Ntcham
BUE,Beothuk
BUF,Bushoong
BUG,Buginese
BUH,Younuo Bunu
BUI,Bongili
BUJ,Basa-Gurmana
BUK,Bugawac
BUL,búlgaro
BUM,Bulu (Cameroon)
BUN,Sherbro
BUO,Terei
BUP,Busoa
BUQ,Brem
BUS,Bokobaru
BUT,Bungain
BUU,Budu
BUV,Bun
BUW,Bubi
BUX,Boghom
BUY,Bullom So
BUZ,Bukwen
BVA,Barein
BVB,Bube
BVC,Baelelea
BVD,Baeggu
BVE,Berau Malay
BVF,Boor
BVG,Bonkeng
BVH,Bure
BVI,Belanda Viri
BVJ,Baan
BVK,Bukat
BVL,língua gestual boliviana
BVM,Bamunka
BVN,Buna
BVO,Bolgo
BVQ,Birri
BVR,Burarra
BVT,Bati (Indonesia)
BVU,Bukit Malay
BVV,Baniva
BVW,Boga
BVX,Dibole
BVZ,Bauzi
BWA,Bwatoo
BWB,Namosi-Naitasiri-Serua
BWC,Bwile
BWD,Bwaidoka
BWE,Bwe Karen
BWF,Boselewa
BWG,Barwe
BWH,Bishuo
BWI,Baniwa
BWJ,Láá Láá Bwamu
BWK,Bauwaki
BWL,Bwela
BWM,Biwat
BWN,Wunai Bunu
BWO,Boro (Ethiopia)
BWP,Mandobo Bawah
BWQ,Southern Bobo Madaré
BWR,Bura-Pabir
BWS,Bomboma
BWT,Bafaw-Balong
BWU,Buli (Ghana)
BWW,Bwa
BWX,Bu-Nao Bunu
BWY,Cwi Bwamu
BWZ,Bwisi
BXA,Bauro
BXB,Belanda Bor
BXC,Molengue
BXD,Pela
BXE,Birale
BXF,Bilur
BXG,Bangala
BXH,Buhutu
BXI,Pirlatapa
BXJ,Bayungu
BXK,Bukusu
BXL,Jalkunan
BXM,Mongolia Buriat
BXN,Burduna
BXO,Barikanchi
BXP,Bebil
BXQ,Beele
BXR,Russia Buriat
BXS,Busam
BXU,China Buriat
BXV,Berakou
BXW,Bankagooma
BXX,Borna (Democratic Republic of Congo)
BXZ,Binahari
BYA,Batak
BYB,Bikya
BYC,Ubaghara
BYD,Benyadu'
BYE,Pouye
BYF,Bete
BYG,Baygo
BYH,Bujhyal
BYI,Buyu
BYJ,Bina (Nigeria)
BYK,Biao
BYL,Bayono
BYM,Bidyara
BYN,Bilin
BYO,Biyo
BYP,Bumaji
BYQ,Basay
BYR,Baruya
BYS,Burak
BYT,Berti
BYV,Medumba
BYW,Belhariya
BYX,Qaqet
BYY,Buya
BYZ,Banaro
BZA,Bandi
BZB,Andio
BZD,Bribri
BZE,Jenaama Bozo
BZF,Boikin
BZG,Babuza
BZH,Mapos Buang
BZI,Bisu
BZJ,Belize Kriol English
BZK,Nicaragua Creole English
BZL,Boano (Sulawesi)
BZM,Bolondo
BZN,Boano (Maluku)
BZO,Bozaba
BZP,Kemberano
BZQ,Buli (Indonesia)
BZR,Biri
BZS,língua gestual brasileira
BZT,Brithenig
BZU,Burmeso
BZV,Bebe
BZW,Basa (Nigeria)
BZX,Hainyaxo Bozo
BZY,Obanliku
BZZ,Evant
CAA,Chortí
CAB,Garifuna
CAC,Chuj
CAD,Caddo
CAE,Lehar
CAF,Southern Carrier
CAG,Nivaclé
CAH,Cahuarano
CAJ,Chané
CAK,Kaqchikel
CAL,caroliniano
CAM,Cemuhî
CAN,Chambri
CAO,chácobo
CAP,Chipaya
CAQ,Car Nicobarese
CAR,Galibi Carib
CAS,chimane
CAT,catalão
CAV,cavinenha
CAW,calauaia
CAX,chiquitano
CAY,Cayuga
CAZ,canichana
CBB,Cabiyarí
CBC,Carapana
CBD,Carijona
CBE,Chipiajes
CBG,Chimila
CBH,Cagua
CBI,Chachi
CBJ,Ede Cabe
CBK,Chavacano
CBL,Bualkhaw Chin
CBN,Nyahkur
CBO,Izora
CBR,Cashibo-Cacataibo
CBS,Cashinahua
CBT,Chayahuita
CBU,Candoshi-Shapra
CBV,Cacua
CBY,Carabayo
CCA,Cauca
CCC,Chamicuro
CCD,Cafundo Creole
CCE,Chopi
CCG,Samba Daka
CCH,Atsam
CCJ,Kasanga
CCL,Cutchi-Swahili
CCM,Malaccan Creole Malay
CCO,Comaltepec Chinantec
CCP,Chakma
CCQ,Chaungtha
CCR,Cacaopera
CDA,Choni
CDE,Chenchu
CDF,Chiru
CDG,Chamari
CDH,Chambeali
CDI,Chodri
CDJ,Churahi
CDM,Chepang
CDN,Chaudangsi
CDO,Min Dong Chinese
CDR,Cinda-Regi-Tiyal
CDS,língua gestual chadiana
CDY,Chadong
CDZ,Koda
CEA,Lower Chehalis
CEB,Cebuano
CEG,Chamacoco
CEN,Cen
CES,checo
CET,Centúúm
CFA,Dijim-Bwilim
CFD,Cara
CFG,Como Karim
CFM,Falam Chin
CGA,Changriwa
CGC,Kagayanen
CGG,Chiga
CGK,Chocangacakha
CHA,chamorro
CHB,Chibcha
CHC,Catawba
CHD,Highland Oaxaca Chontal
CHE,Chechen
CHF,Tabasco Chontal
CHG,Chagatai
CHH,Chinook
CHJ,Ojitlán Chinantec
CHK,Chuukese
CHL,Cahuilla
CHM,Mari (Russia)
CHN,Chinook jargon
CHO,Choctaw
CHP,Chipewyan
CHQ,Quiotepec Chinantec
CHR,Cherokee
CHT,Cholón
CHU,Church Slavic
CHV,Chuvash
CHW,Chuwabu
CHX,Chantyal
CHY,Cheyenne
CHZ,Ozumacín Chinantec
CIA,Cia-Cia
CIB,Ci Gbe
CIC,Chickasaw
CID,Chimariko
CIE,Cineni
CIH,Chinali
CIK,Chitkuli Kinnauri
CIM,Cimbrian
CIN,Cinta Larga
CIP,Chiapanec
CIR,Tiri
CIW,Chippewa
CIY,Chaima
CJA,Western Cham
CJE,Chru
CJH,Upper Chehalis
CJI,Chamalal
CJK,Chokwe
CJM,Eastern Cham
CJN,Chenapian
CJO,Ashéninka Pajonal
CJP,Cabécar
CJR,Chorotega
CJS,Shor
CJV,Chuave
CJY,Jinyu Chinese
CKA,Khumi Awa Chin
CKB,curdo central
CKH,Chak
CKL,Cibak
CKO,Anufo
CKQ,Kajakse
CKR,Kairak
CKS,Tayo
CKT,Chukot
CKU,Koasati
CKV,Kavalan
CKX,Caka
CKY,Cakfem-Mushere
CKZ,Cakchiquel-Quiché Mixed Language
CLA,Ron
CLC,Chilcotin
CLD,Chaldean Neo-Aramaic
